Time/Departing	Destination	Carrier	Status	Category 1 Name	Category 1 Narrative	Category 2 Name	Category 2 Narrative	Category 3 Name	Category 3 Narrative	Category 4 Name	Category 4 Narrative	Template Name
3:50	Annares	wistful	on time	duration of flight	eleven years at near-light speed	mode of transportation	Hanish space	weather	dry, cold and windy	atmosphere	thin	top flight
4:00	Camelot	arslogo	on time	distance from Austin	far away to the eastward, in a dream-world	weather	copper summer skies or wintery blasts	terrain	high keeps, stout battlements, and stately spires	mode of transportation	a black warhorse standing eighteen hands	top flight
4:10	Camazotz	daydream	delayed	distance from Austin	across galaxies and dimensions	mode of transportation	tessering through the fifth dimension	duration of flight	just a time wrinkle	weather	autumnal chill	top flight
4:20	Citàgazze	incorporeal	delayed	location	on the sea	duration of flight	1 hour walk to the hole in the universe	atmosphere	Mediterranean or Caribbean	mode of transportation	flight to London, train to Oxford, then walk or hitchhike up Banbury Road, past the Oxford Ring Road to the hornbeam trees in the Northern suburbs and go through a hole in the fabric of  the world 	top flight
4:30	Moody Land	gossamerica	on time	terrain	tempermental	weather	based on the mood of the inhabitants	atmosphere	magical 	mode of transportation	a boat shaped like a swan or an Imaginary Flying Organism	top flight
4:40	Narnia	daydream	on time	weather	always winter and never Christmas	mode of transportation	through the wardrobe	duration of flight	a few seconds	mode of transportation	flight to London, train to the country, 10 miles from nearest railway station	top flight
4:50	Nessus	wistful	on time	distance from Austin	4,166 miles	mode of transportation	The Corridors of Time	duration of flight	Instantaneous	atmosphere	tropical	top flight
5:00	Pemberley	arslogo	on time	distance from Austin	4,811 miles	mode of transportation	a flight followed by a carriage	weather	cool english climate	terrain	an elegant estate in the East Midlands of England	top flight
5:10	The Night Kitchen	incorporeal	on time	distance from Austin	 through the dark, over the top of the Milky Way	mode of transportation	airplanes made of dough	weather	sprinkles of flour	atmosphere	dream-like	top flight
5:20	Tlön	wistful	on time	distance from Austin	7,341 miles	mode of transportation	upward beyond the onstreaming it soars	atmosphere	nounless	terrain	Low-lying plains, with river and bordered by mountain ranges 	top flight
5:30	Genovia	gossamerica	on time	location	a principality crammed between Italy and France 	duration of flight	14 hours 	weather	Generally warm and temperate	environment	 tax-free  	top flight
5:40	Absurdistan 	daydream	delayed	mode of transportation	One extra wide lumbar-supporting seat 	distance from Austin	7,127 miles	duration of flight	18 hours	atmosphere	cash falling like snowflakes upon the ruling class 	top flight
5:50	Boromir's House	incorporeal	on time	duration of flight	This is a sample of text. It is about the weather	weather	This is a sample of text. It is about the weather.	mode of transportation	flying carpets that one has befriended not enslaved	weather	 Falling through a crack in your bedroom wall that you'd noticed before but been afraid to investigate. 	top flight
